Date,Description,Category,Cost,Currency,Louise Billingham,Ben Selby

2018-11-08,Mortgage fee,Mortgage,1495.00,GBP,-747.50,747.50
2018-11-08,Mortgage survey,Mortgage,200.00,GBP,100.00,-100.00
2018-11-08,Solicitor fee,General,350.00,GBP,175.00,-175.00
2018-11-08,Moving boxes,General,55.00,GBP,27.50,-27.50
2018-11-17,Vacuum bags,Household supplies,19.00,GBP,-9.50,9.50
2018-11-18,Moving boxes,General,39.99,GBP,19.99,-19.99
2018-12-06,Accommodation 10-14th Dec,Rent,582.00,GBP,-291.00,291.00
2018-12-06,Rent,Rent,200.00,GBP,200.00,-200.00
2018-12-06,Boxes,Furniture,42.85,GBP,21.43,-21.43
2018-12-06,Shurgard Storage,Furniture,36.97,GBP,18.49,-18.49
2018-12-10,Van Removal,Furniture,323.00,GBP,161.50,-161.50
2018-12-11,Aprtment 17-21 Dec,Rent,472.00,GBP,-236.00,236.00
2018-12-11,Travelodge 16th December,Hotel,49.00,GBP,24.50,-24.50
2018-12-23,Apartment 1st-4th Jan,Rent,276.00,GBP,-138.00,138.00
2018-12-23,Premier Inn 31st Dec,Hotel,158.00,GBP,-79.00,79.00
2018-12-23,Louise B. paid Ben S.,Payment,500.00,GBP,500.00,-500.00
2019-01-01,Accommodation 6thJan-11thJan,Rent,351.00,GBP,-175.50,175.50
2019-01-09,Apartment 14th- 18th Jan,Rent,405.00,GBP,202.50,-202.50
2019-01-09,Travelodge ,Hotel,27.00,GBP,-13.50,13.50
2019-01-09,Shurgard Storage,Home - Other,94.77,GBP,47.38,-47.38
2019-01-18,Carpet deposit,General,1097.00,GBP,548.50,-548.50
2019-01-26,TV licence ,TV/Phone/Internet,150.50,GBP,75.25,-75.25
2019-01-26,Kitchenware,General,112.00,GBP,56.00,-56.00
2019-01-26,Bath Mats,Household supplies,37.50,GBP,-18.75,18.75
2019-02-01,Carpet Completion,Furniture,1257.80,GBP,-628.90,628.90
2019-02-02,Mortgage,Rent,1432.12,GBP,-716.06,716.06
2019-02-04,Painting,General,650.00,GBP,325.00,-325.00
2019-02-04,Louise B. paid Ben S.,Payment,550.67,GBP,550.67,-550.67
2019-02-18,Sofabed ,General,938.00,GBP,-469.00,469.00
2019-02-18,Sofa,General,1099.00,GBP,-549.50,549.50
2019-02-18,Shelving,General,245.00,GBP,-122.50,122.50
2019-02-18,Painting and Decorating from B&Q,General,86.00,GBP,-43.00,43.00
2019-02-18,B&Q decorating ,General,39.00,GBP,19.50,-19.50
2019-02-21,Electricity,Electricity,50.00,GBP,25.00,-25.00
2019-02-21,Louise B. paid Ben S.,Payment,1139.50,GBP,1139.50,-1139.50
2019-02-22,Chair,General,199.00,GBP,99.50,-99.50
2019-02-26,Sideboard,General,988.00,GBP,-494.00,494.00
2019-03-03,Big manatee holiday deposit,General,1286.00,GBP,643.00,-643.00
2019-03-04,New york hotel,Hotel,650.00,GBP,-325.00,325.00
2019-03-04,BA upgrade Louise,General,88.00,GBP,88.00,-88.00
2019-03-04,Laundry bin,Services,40.00,GBP,-20.00,20.00
2019-03-04,Manatee holiday flights,Plane,2306.00,GBP,1153.00,-1153.00
2019-03-04,Ben S. paid Louise B.,Payment,1144.50,GBP,-1144.50,1144.50
2019-03-16,Flight seat reservations,Plane,145.00,GBP,-72.50,72.50
2019-03-17,Electrcity,Electricity,74.00,GBP,37.00,-37.00
2019-03-17,Water bill,Water,24.00,GBP,12.00,-12.00
2019-03-17,Internet,TV/Phone/Internet,29.00,GBP,-14.50,14.50
2019-03-19,Lego ship,General,60.00,GBP,-60.00,60.00
2019-03-27,Council tax,General,233.00,GBP,-116.50,116.50
2019-04-01,Electrcity,Electricity,74.00,GBP,37.00,-37.00
2019-04-01,Water,Water,24.00,GBP,12.00,-12.00
2019-04-04,Internet,TV/Phone/Internet,29.00,GBP,-14.50,14.50
2019-04-14,Spare room bedding ,Rent,31.00,GBP,15.50,-15.50
2019-04-14,Service charge,General,2143.13,GBP,-642.94,642.94
2019-04-14,Armchair Ikea,Furniture,130.00,GBP,65.00,-65.00
2019-04-14,Balcony furniture,General,218.00,GBP,109.00,-109.00
2019-04-14,Louise B. paid Ben S.,Payment,633.44,GBP,633.44,-633.44
2019-04-16,Ikea table component,Furniture,50.00,GBP,-50.00,50.00
2019-04-16,Flight,Plane,157.00,GBP,-157.00,157.00
2019-04-24,Holiday rental,General,195.00,GBP,-97.50,97.50
2019-04-28,Holiday Flights ,Plane,413.00,GBP,206.50,-206.50
2019-04-28,Premier inn Gatwick,Hotel,76.00,GBP,-38.00,38.00
2019-04-29,Council Tax,General,136.00,GBP,-68.00,68.00
2019-05-01,Electrcity,Electricity,74.00,GBP,37.00,-37.00
2019-05-01,Water,Water,24.00,GBP,12.00,-12.00
2019-05-01,Curtains deposit,General,950.00,GBP,-475.00,475.00
2019-05-04,Internet,TV/Phone/Internet,29.00,GBP,-14.50,14.50
2019-05-08,Car hire ,Car,197.00,GBP,98.50,-98.50
2019-05-13,Coffee Table,Dining out,150.00,GBP,-75.00,75.00
2019-05-20,Louise B. paid Ben S.,Payment,350.00,GBP,350.00,-350.00
2019-05-22,Curtains - balance ,General,942.00,GBP,-471.00,471.00
2019-05-29,Council Tax,General,136.00,GBP,-68.00,68.00
2019-06-01,Electrcity,Electricity,74.00,GBP,37.00,-37.00
2019-06-01,Water,Water,24.00,GBP,12.00,-12.00
2019-06-04,Internet,TV/Phone/Internet,29.00,GBP,-14.50,14.50
2019-06-06,Louise B. paid Ben S.,Payment,300.00,GBP,300.00,-300.00
2019-06-23,Shopping,General,62.00,GBP,62.00,-62.00
2019-06-23,Service charge,General,2143.13,GBP,-642.94,642.94
2019-06-28,Louise B. paid Ben S.,Payment,1056.44,GBP,1056.44,-1056.44
2019-06-29,Council Tax,General,136.00,GBP,-68.00,68.00
